placeid,night,morning,noon,evening
578404,2,11,9,19
6263345,1,2,1,6
620004,2,13,11,20
358785,3,29,10,36
5901452,2,3,1,2
613891,5,13,14,19
6393159,4,12,11,37
1097421,2,30,11,12
597088,1,8,4,9
190788,7,28,22,41
1028201,2,11,7,29
961133,2,3,2,4
219041,3,11,15,20
5161884,0,1,2,7
6284100,1,3,3,6
374190,2,11,11,13
7029764,1,2,2,5
3376788,1,2,5,6
374059,2,12,9,14
1497282,1,1,3,9
1486917,2,6,7,10
4310641,1,3,2,6
1190663,2,2,4,8
1432341,2,21,9,18
1525256,7,24,17,24
954108,1,6,2,12
6835442,0,4,5,4
6572872,2,3,3,4
6518014,1,6,9,9
1115310,1,1,2,3
807507,2,5,5,3
397769,4,1,3,5
713432,4,2,2,4
928916,1,0,3,4
382780,23,0,1,21
1267003,2,6,5,10
575971,2,3,0,5
227957,2,2,25,4
406591,3,7,8,4
1052144,3,4,4,1
714324,1,15,9,3
139574,10,1,5,6
2145208,2,2,2,4
1472489,3,0,1,5
1312548,2,4,14,1
1479391,4,2,0,3
67646,2,2,0,9
578730,5,1,2,2
137090,3,1,14,5
47254,2,2,12,6
1258593,2,1,6,5
476301,2,7,14,7
1050454,7,0,1,6
619516,4,2,6,9
328429,5,1,3,6
494169,2,1,2,6
288691,4,3,2,7
1577803,3,2,1,4
55177,4,4,2,9
571415,3,5,1,4
864577,5,4,3,19
1097496,3,4,3,2
635506,4,4,1,4
1094895,3,14,8,12
589298,2,4,9,10
5436057,3,2,3,5
1561925,2,0,3,8
650094,3,5,19,33
959360,2,5,6,10
1050512,6,1,1,7
635042,2,1,5,5
297209,5,1,1,5
714302,3,1,4,7
5133844,4,1,3,7
4676204,2,3,5,7
1595199,1,6,0,2
1300330,2,4,3,4
368176,2,8,4,7
1456607,2,2,6,5
3059451,2,5,2,5
515648,2,9,12,11
6501941,4,12,25,26
679204,1,8,5,8
1401073,1,8,4,8
789367,3,4,3,5
822156,3,6,3,5
1324984,1,6,7,6
1139825,4,12,11,8
1298604,3,4,3,5
1586987,2,4,1,12
6472424,3,1,0,13
1998143,2,5,6,5
245093,4,18,15,14
1440477,4,3,1,9
1038365,7,22,32,43
707504,1,2,1,5
6024569,1,1,2,4
4588388,2,6,5,6
2076994,2,7,1,4
4121952,2,2,4,6
6466265,2,2,9,7
505958,3,6,9,16
995981,2,8,2,5
3455224,1,2,0,9
789323,6,15,9,19
775573,3,4,2,2
1203789,4,2,2,7
688856,4,3,2,4
750630,2,3,4,5
2292861,1,3,3,4
3719184,4,4,0,6
184863,4,8,14,16
791611,2,0,1,8
401771,2,5,4,9
277402,2,3,10,9
1960524,2,3,2,4
1960470,2,2,2,4
4108909,1,1,2,10
647312,2,1,3,6
1017087,1,0,3,6
117620,5,1,6,10
875899,1,4,3,3
1442465,1,4,2,3
1285458,2,1,3,3
241421,1,6,1,6
1357472,1,4,2,4
1357443,1,9,1,4
117653,4,1,2,7
117673,2,0,3,6
117687,0,0,4,5
3197375,13,3,6,9
250390,2,7,6,18
272411,2,4,4,14
2914168,0,2,4,6
4328622,1,2,2,6
1518438,0,4,2,6
374101,4,5,7,12
145263,1,12,37,42
5021291,0,3,5,4
2421039,1,3,4,2
944491,1,17,14,27
1248803,0,6,8,8
2793226,0,1,7,5
1780507,1,6,10,5
999626,1,5,7,10
4592881,1,2,5,2
3835642,1,8,4,9
2419279,0,15,5,18
4684333,1,2,9,6
2420303,0,16,5,20
2419951,1,5,6,6
597900,1,3,8,5
597908,2,5,6,7
948017,2,7,36,32
322183,0,18,29,21
747056,0,3,4,15
940839,3,6,2,24
3775348,1,2,5,3
1076284,0,4,12,15
1295647,0,2,3,7
379698,1,3,13,6
720290,0,5,65,8
531584,4,1,9,8
409303,2,4,7,9
1675444,1,5,2,4
1250291,0,1,5,8
6374276,3,0,1,6
1078161,1,5,6,11
2419535,0,4,5,8
2929306,2,3,11,14
950368,0,9,4,14
593973,2,4,6,9
517810,5,5,10,17
3498930,0,4,3,4
1312046,2,8,18,28
1521221,2,4,16,15
357140,3,8,22,29
3509987,1,9,2,14
3379683,1,4,10,14
245302,18,4,22,31
544715,2,1,9,9
3454664,1,5,4,5
373213,4,21,55,27
985840,0,3,7,6
1106574,0,19,7,25
649200,2,19,15,18
2420111,0,7,6,9
2420063,0,7,6,9
2865772,0,8,9,8
136387,5,50,39,54
1760694,0,6,10,7
3836223,0,9,8,8
2865862,2,12,6,12
3442504,1,3,5,5
3837287,1,2,4,7
951434,1,3,3,8
4641814,5,4,3,7
1499730,1,5,0,6
417984,2,2,5,7
418012,4,1,7,23
1326918,0,3,3,5
4727610,1,4,3,11
3369934,2,3,2,7
690791,2,1,3,3
690788,0,3,4,2
4727581,0,2,3,2
1505058,1,3,5,6
2291931,0,3,2,7
6353259,1,0,8,3
235969,0,1,5,9
6403570,0,2,10,8
2586952,2,2,3,10
2287865,6,5,6,15
1154473,0,3,4,9
829966,0,2,3,5
1549479,0,5,2,1
741726,0,2,2,7
3103946,0,1,7,3
1220962,1,2,5,2
63712,1,13,32,16
815402,1,4,8,6
1189769,0,1,8,4
323065,2,5,6,9
4577408,0,1,4,10
2766845,0,3,2,6
1111777,2,8,11,12
5209528,1,3,2,8
1077316,1,5,12,10
824618,2,2,5,7
2492401,0,1,4,6
1062328,1,3,5,2
4624344,1,1,6,4
2248933,1,1,4,3
327198,4,18,49,36
639818,1,4,3,5
1600771,0,3,7,8
1131449,1,1,5,12
792341,2,5,6,11
1292871,2,9,6,7
5117791,0,6,4,9
1012788,2,7,11,14
952752,3,3,8,6
343946,1,0,3,8
1590497,1,2,4,5
1353749,1,4,8,9
1544973,2,3,6,5
5096666,1,3,5,10
890113,1,4,8,9
301346,2,3,6,12
1555140,0,7,16,22
1507189,0,2,7,15
3108178,0,2,9,12
382014,10,1,3,13
2954570,2,1,1,7
989786,0,2,4,5
1113616,0,3,1,8
1457953,1,4,1,4
960090,1,6,11,25
940817,1,8,11,21
2865904,1,13,6,13
4592929,1,6,12,4
3835684,0,8,7,5
3835789,1,7,7,5
3835726,0,8,8,3
3835873,1,4,8,3
3837679,0,9,6,6
6370217,2,4,7,10
3837595,1,7,6,6
3836671,1,7,5,4
4684086,1,4,7,2
2421519,2,20,5,23
2422543,2,4,5,5
3837511,1,11,6,14
707345,1,23,28,28
3836447,1,4,6,5
2421711,1,7,7,7
2421983,1,5,7,3
3837413,2,6,5,6
2422095,2,2,5,9
2422159,2,4,5,3
3837217,1,4,1,11
6372870,3,4,7,7
245185,7,54,56,67
1084839,3,4,9,12
835176,4,5,20,14
2936106,2,3,1,8
6369793,2,1,5,3
4687600,2,3,4,5
2751822,3,5,7,3
3492672,1,6,3,3
136551,8,30,41,37
6111894,2,6,6,4
5927311,2,4,11,5
6347351,2,5,4,7
564502,1,1,11,2
723531,4,7,8,6
610715,1,4,6,4
828678,7,31,23,23
1463307,1,5,9,3
524750,2,7,6,8
634168,2,6,3,1
869373,1,11,4,7
1235842,2,4,8,9
403259,1,4,2,13
592819,2,3,7,7
413230,2,6,3,9
693814,2,3,8,5
403811,2,4,8,11
1495404,1,3,7,4
403317,2,4,3,5
403793,2,4,5,8
1235494,3,5,7,4
720164,2,4,2,2
1118666,2,5,5,2
401959,1,8,10,8
1206616,2,4,9,3
1082674,2,13,29,13
438489,3,7,7,9
1010851,0,4,3,8
938993,5,1,7,4
996655,0,1,6,2
1095039,0,5,4,7
684879,2,1,6,5
586365,2,3,10,13
647024,4,11,15,5
1073951,3,2,6,8
227893,1,14,13,15
1517417,0,1,5,3
1067267,2,3,5,4
630188,2,1,9,4
978597,3,4,5,4
1413478,2,4,6,3
470961,5,22,19,20
1141943,2,20,10,14
397617,3,3,4,6
1161548,1,0,7,7
581107,1,1,9,5
1405114,0,2,5,4
938302,1,2,9,7
944333,1,1,6,7
108025,3,2,13,5
66176,3,17,16,15
946189,0,1,6,7
954576,1,0,2,12
946128,1,0,6,5
148898,3,3,7,4
124377,2,4,7,4
995844,1,3,5,3
1396558,0,3,3,9
148988,1,2,6,7
1171670,2,3,3,5
277869,0,3,4,6
93186,0,2,11,7
195627,1,1,5,7
1196025,2,5,4,5
912053,0,24,20,9
861830,1,1,3,7
1503373,0,1,4,6
835491,0,1,10,14
896969,5,3,18,14
394938,1,2,5,4
349890,1,2,2,5
632059,2,0,3,5
792754,5,1,4,14
301020,1,1,13,25
298021,1,1,4,9
167675,1,1,13,9
64819,1,1,11,26
67511,0,1,6,1
557662,1,0,8,1
1071707,2,1,2,5
1071676,4,1,6,3
784806,2,0,4,8
1179510,2,1,6,8
365185,1,2,2,5
466364,0,3,5,2
1345477,0,0,4,6
1480774,2,5,4,5
817363,1,4,2,3
530028,1,2,2,3
666497,3,2,7,1
1360212,1,5,2,9
742729,1,0,2,1
1206607,1,3,2,7
815711,1,5,10,2
606421,0,2,1,5
134617,18,119,33,91
1368705,1,6,8,4
606279,1,2,8,11
606621,0,2,3,8
564515,0,0,3,8
395273,0,1,3,8
606284,0,4,5,11
297436,2,2,2,8
155115,5,13,14,36
508707,6,4,14,12
1005154,3,3,2,10
698043,5,5,4,10
1108922,2,8,7,8
869951,1,3,4,9
1012240,2,6,6,11
277639,2,3,1,8
860352,4,5,15,46
435816,3,5,7,5
1062150,2,3,5,1
661415,1,1,0,7
296631,2,2,7,18
789289,2,5,3,11
746651,4,1,1,10
1302758,7,0,3,11
1062147,4,1,4,2
553995,2,1,3,7
1402737,4,0,3,6
582389,2,1,4,7
723675,3,8,14,18
737384,2,3,7,15
816736,2,2,13,7
647968,2,1,6,4
1374246,2,2,5,4
628002,3,3,3,10
168526,2,2,6,12
843681,3,4,9,7
816886,5,1,3,16
796614,1,2,6,7
1486201,2,3,5,5
1164394,3,7,6,4
1084833,1,4,3,2
715727,2,7,7,8
1462545,2,0,2,10
1300433,11,1,4,25
1316516,2,4,6,4
1443823,4,0,2,6
1243413,2,6,4,10
690343,2,6,3,9
134627,5,15,6,31
145314,3,6,8,24
1364116,2,2,3,7
343062,3,3,3,7
462922,2,3,1,7
1244665,3,2,1,4
252984,17,12,18,77
1349903,3,2,2,3
726593,12,209,8,160
1539259,2,3,3,6
1327642,3,1,4,6
557526,2,5,4,12
1303531,6,2,2,5
559695,3,2,3,9
524450,2,2,1,7
867029,6,2,0,8
1004551,3,2,3,4
768207,2,2,2,5
1003862,2,5,2,6
1220072,2,168,31,20
835558,2,4,1,8
883071,3,4,1,7
703814,1,2,9,17
1072591,2,1,9,11
557620,1,1,4,11
804610,2,2,4,7
551587,2,2,3,8
1358638,2,3,3,6
933732,4,4,7,15
875635,2,8,7,8
1078202,2,2,4,7
1539435,0,1,6,9
931875,1,1,3,3
948850,7,3,2,8
735636,1,3,5,6
1117912,2,2,3,5
808444,2,2,6,11
1117941,2,2,6,11
882660,1,5,2,6
861225,2,2,3,9
1000090,6,3,2,9
963577,4,4,5,9
503773,1,3,8,9
728785,2,5,2,4
944334,3,3,4,14
989630,1,3,7,13
944219,1,3,7,5
934454,0,3,4,8
87175,3,3,6,19
1316855,0,2,3,7
1084358,2,7,12,28
1114063,0,1,4,8
634088,2,10,2,13
776964,0,2,3,7
1367048,0,1,6,6
648692,0,2,4,7
824042,0,6,8,12
695586,0,1,5,7
902810,2,4,4,5
1450249,2,4,3,6
28098,1,8,8,13
782992,0,7,8,11
789438,1,3,4,9
842212,2,15,18,13
1248851,2,5,2,5
1243684,0,4,5,10
937633,0,4,5,14
746754,1,2,7,13
523402,0,11,30,23
1368111,0,2,2,8
1295884,0,4,5,11
669507,2,9,7,18
1037606,0,6,18,24
722003,1,3,5,12
743508,0,9,9,20
1059403,1,4,7,6
1325679,1,5,21,23
1272390,1,7,10,23
993184,4,7,5,14
969829,3,16,22,28
1211972,0,5,11,9
1351007,1,5,5,7
1515953,1,2,4,6
1507476,1,4,10,7
1191195,2,9,9,15
1106729,2,3,4,7
976405,1,5,5,13
976394,2,4,6,16
1342168,3,8,16,10
746412,7,10,12,25
1325563,2,8,3,9
1434999,1,3,1,7
1325489,0,7,12,9
870937,3,7,5,14
999160,2,6,5,14
694376,3,15,15,19
715427,4,28,10,17
545958,5,23,10,30
1409739,1,6,19,10
1492523,2,10,11,8
1492526,1,11,12,12
523966,1,16,17,54
1492564,4,10,13,13
1118581,2,10,7,15
585987,3,13,15,13
288719,2,6,19,8
831174,2,7,6,8
1002343,2,4,7,5
251682,3,7,13,7
402900,2,3,7,12
1059562,2,6,4,5
919713,4,2,7,4
613404,2,4,4,3
1031705,3,8,15,7
824089,2,0,6,6
1180373,2,12,11,13
1534649,0,5,2,4
720343,1,3,3,5
1146438,1,3,2,7
204266,1,8,6,9
1291019,1,3,1,14
871561,0,3,4,11
816675,1,4,4,9
71061,0,11,11,12
870300,0,2,8,13
1017318,0,5,13,9
1449254,0,4,8,10
959098,1,5,2,4
796959,0,3,10,4
1044212,0,3,8,6
669833,0,5,11,5
1044193,0,3,7,6
1044172,0,3,8,4
979168,1,5,9,6
387204,5,53,43,71
666912,0,13,12,34
715813,1,13,16,32
743605,4,15,28,44
649133,0,26,29,36
707521,0,27,22,35
804239,0,16,17,19
91690,2,30,21,33
666982,1,29,15,38
666970,1,29,15,38
575983,3,32,17,27
666990,0,29,14,39
245198,3,14,15,18
937644,0,4,5,10
703257,3,21,21,29
597236,4,30,17,29
967900,4,16,38,40
614727,1,25,28,43
707867,2,4,12,11
638139,2,4,3,10
620200,1,4,3,10
650449,4,2,1,20
613359,0,9,17,10
535749,2,13,13,10
841710,5,50,16,42
816431,0,5,8,7
140927,0,13,11,11
343452,0,6,7,4
129009,3,10,13,6
897856,4,5,6,3
665025,3,6,11,6
229961,2,6,2,10
522955,1,13,15,14
954114,0,5,1,6
333218,1,3,3,6
117755,3,2,2,10
343957,2,4,6,8
221943,1,4,5,5
343906,4,6,16,6
343924,3,2,5,4
838353,2,4,12,9
851487,2,8,34,16
715430,3,17,11,22
564080,3,49,26,51
350617,0,10,11,15
745628,3,11,4,11
685069,1,5,5,10
380067,2,7,11,19
540151,1,8,15,15
630019,2,10,6,8
533344,2,6,14,10
401167,3,8,13,10
678904,2,2,6,7
869656,2,2,8,4
197955,4,11,26,14
67878,4,2,4,17
244887,6,2,6,19
219545,8,5,12,21
50096,6,7,13,31
219382,0,1,8,6
70422,5,3,10,13
83431,6,9,22,18
228896,3,6,11,15
545267,1,3,6,6
307112,3,6,11,11
279794,6,4,5,14
381898,0,2,4,7
541705,3,7,7,7
368196,1,2,4,4
63535,1,5,6,2
622354,5,3,2,6
394921,0,2,7,5
466375,0,3,4,4
636065,6,4,1,13
466392,0,7,8,9
605401,2,2,1,3
437613,3,3,8,6
504829,3,5,1,4
351360,0,6,8,15
593612,0,3,6,3
63744,1,17,13,24
233883,2,10,8,15
271611,3,7,10,12
71012,1,18,6,10
75427,3,18,9,20
174371,2,8,4,10
173200,2,12,17,18
148475,2,30,15,48
106388,1,3,3,4
430928,1,3,9,12
106394,1,2,4,5
679824,2,5,14,49
57330,1,10,17,14
531870,1,5,5,12
137080,5,39,14,48
336086,4,11,10,75
288586,3,5,11,10
527967,2,7,5,6
279447,1,5,4,7
382749,2,8,5,6
193570,6,3,9,20
228408,9,10,6,16
605868,2,6,19,10
522231,1,4,7,10
81693,34,5,39,143
245515,2,7,9,16
469969,2,5,3,8
55165,0,4,9,18
96388,2,11,8,18
211662,2,4,4,11
648478,0,4,6,12
533838,1,5,4,3
124367,2,9,10,19
322839,1,32,42,20
47181,2,9,8,12
304567,9,6,10,47
465255,0,7,13,18
407121,0,7,8,15
384702,4,12,14,15
605270,1,7,6,10
508902,2,4,10,10
388195,0,4,6,15
290727,3,6,7,15
151908,1,8,4,16
603567,2,7,9,16
633935,0,6,9,11
245140,3,34,23,47
564192,5,32,27,66
301442,2,8,8,14
290822,2,15,8,27
458060,12,18,10,29
230181,2,34,11,47
594035,3,35,14,35
159416,4,24,12,52
547973,5,15,7,34
111366,8,10,15,28
387109,3,5,3,8
71073,10,36,31,42
550665,2,8,7,4
240655,2,13,8,20
223637,1,13,16,31
221933,1,9,15,9
213723,2,8,5,10
197909,0,13,12,6
197926,0,13,11,5
480014,1,4,6,12
236040,5,11,20,15
432454,3,5,4,8
148573,2,19,12,18
561265,2,8,7,8
649146,1,19,16,36
103595,1,5,10,8
103600,1,2,11,9
321987,1,9,16,14
234136,0,3,6,5
250474,3,6,17,25
290682,3,7,5,15
185569,4,9,7,18
63816,23,6,3,23
149304,0,1,2,11
322859,2,6,2,6
224006,7,5,1,8
238686,8,11,23,19
272994,3,1,3,11
127448,3,5,3,30
148962,0,1,4,2
97563,2,26,20,8
84418,2,1,6,7
322854,3,5,30,9
57401,1,3,6,7
74680,2,3,5,5
322620,4,1,7,4
301091,3,1,8,3
290873,2,2,2,7
155290,3,10,50,13
168414,1,1,9,3
168413,1,2,6,6
117514,1,4,27,18
150178,3,1,5,6
117527,5,4,10,26
117516,1,4,21,8
144674,3,18,16,8
197851,3,11,3,9
317764,2,1,7,7
246293,2,1,3,4
158667,2,21,4,0
67951,1,1,5,6
327795,2,5,9,9
322184,4,45,44,15
62314,4,1,6,7
74610,7,8,14,13
127352,3,1,3,9
141121,5,5,18,8
241279,3,4,1,3
61430,4,4,3,3
199326,4,2,7,4
235845,2,3,4,7
139141,5,2,0,4
157077,4,2,0,14
89954,0,3,5,11
196485,6,3,0,12
139577,12,2,2,14
57827,12,2,2,6
292720,8,1,3,11
98676,4,1,3,3
316833,5,2,0,6
96432,3,1,5,17
65311,5,4,18,24
62656,3,7,10,13
65326,2,4,9,6
234517,2,3,6,7
305807,3,5,2,3
66175,1,6,5,8
57735,4,4,7,10
783047,5,27,44,22
306843,5,14,37,13
242358,6,3,2,38
82284,3,2,3,16
103288,2,5,12,13
71679,3,7,10,25
394041,3,5,3,14
70168,4,6,6,22
306575,3,5,5,5
118442,2,3,3,3
322805,2,14,12,19
125246,2,5,4,11
134414,1,5,9,4
63727,4,19,42,33
193932,0,4,1,8
85670,1,3,3,6
278663,1,3,5,9
151669,2,8,5,7
173211,4,12,13,36
177010,6,10,21,27
327173,0,3,4,10
278321,2,6,3,8
271523,5,3,6,3
311350,1,4,9,7
311355,2,2,7,10
311375,1,3,5,7
152392,5,5,4,13
289415,8,4,8,13
200040,17,17,41,36
118112,17,18,23,22
292810,12,10,7,22
301272,31,17,18,19
236178,9,7,7,25
57626,2,6,4,9
60161,5,6,3,6
213171,2,2,6,5
245260,5,14,38,42
302717,11,7,40,171
93630,1,13,11,22
157265,6,29,23,55
85797,1,9,9,33
288516,5,8,10,8
202391,2,17,2,12
289038,3,11,10,12
289044,3,8,10,7
198487,3,14,9,8
289047,3,8,12,8
56215,1,10,9,9
60968,7,5,7,6
91799,5,17,9,25
289166,3,3,3,9
75245,7,7,8,18
192919,4,9,16,17
93487,1,7,6,25
87240,15,7,26,58
231968,18,3,3,5
118247,1,9,1,7
62200,2,3,2,6
60173,3,8,6,10
77000,15,4,3,17
285589,6,1,4,15
49792,5,3,3,14
108985,51,18,17,37
109059,2,1,2,8
56557,0,7,1,12
60359,0,5,2,8
60170,3,8,8,12
192943,4,5,10,20
192940,3,6,6,16
178247,3,8,5,11
63699,5,10,18,18
12974,11,4,20,25
292847,17,8,13,22
285581,5,4,6,11
53680,3,2,10,4
199997,23,25,26,39
292865,8,4,4,14
66283,6,6,18,12
211524,2,2,2,6
155889,10,11,11,41
153720,10,22,28,71
299234,10,5,7,14
13079,7,15,31,26
63710,2,15,26,20
63720,4,11,43,16
51862,1,2,2,10
86839,2,1,2,7
151604,1,5,10,14
69988,2,3,2,10
156700,4,1,4,10
295101,3,9,20,21
322901,2,185,74,18
58948,1,4,0,3
109068,2,5,2,11
44985,0,35,32,10
234838,4,6,5,24
193998,2,4,6,5
46149,0,65,28,13
65878,9,2,1,19
105501,1,6,21,15
63485,0,2,8,4
186506,6,8,12,20
306933,2,2,4,9
257455,2,16,22,20
242974,19,4,7,12
319361,2,1,3,9
318416,3,1,3,10
211584,2,3,4,7
168155,2,45,22,42
207824,0,6,4,6
253975,28,1,4,18
158976,4,2,3,3
299291,9,2,10,4
283603,35,9,8,46
135507,4,1,1,6
117859,1,2,2,5
